Mes,Cobrado,Credito_otorgado
2025-09-01,,22500000.0
2025-10-01,2783296.16,87540000.0
2025-11-01,25888033.69,19000000.0
2025-12-01,40401881.28,173400000.0
2026-01-01,40050320.19,12800000.0
2026-02-01,21925311.44,13000000.0
2026-03-01,66325377.37,31900000.0
2026-04-01,82430177.66,108693877.89
2026-05-01,51973678.57,53860000.0
2026-06-01,110081165.41,62701096.75
2026-07-01,159010832.67,40612431.47
2026-08-01,111817720.23,119940115.0
