Mes,Linea de crédito,Monto
2028-04-01,Crédito personal,2598146.15
2028-05-01,Crédito personal,1946297.55
2028-06-01,Crédito personal,1946297.57
2028-07-01,Crédito personal,1432879.78
2028-08-01,Crédito personal,1059253.98
2028-09-01,Crédito personal,0.0
2028-10-01,Crédito personal,0.0
2028-11-01,Crédito personal,0.0
2028-12-01,Crédito personal,0.0
2029-01-01,Crédito personal,0.0
2029-02-01,Crédito personal,0.0
2029-03-01,Crédito personal,0.0
2029-04-01,Crédito personal,0.0
2029-05-01,Crédito personal,0.0
2029-06-01,Crédito personal,0.0
2029-07-01,Crédito personal,0.0
2025-10-01,Descuento de cheques,0.0
2025-11-01,Descuento de cheques,10000000.0
2025-12-01,Descuento de cheques,30918626.56
2026-01-01,Descuento de cheques,30918626.56
2026-02-01,Descuento de cheques,30918626.56
2026-03-01,Descuento de cheques,30918626.56
2026-04-01,Descuento de cheques,45918626.56
2026-05-01,Descuento de cheques,61193924.96
2026-06-01,Descuento de cheques,88918626.56
2026-07-01,Descuento de cheques,82918626.56
2026-08-01,Descuento de cheques,84884163.56
2026-09-01,Descuento de cheques,65168626.57
2026-10-01,Descuento de cheques,23750000.0
2026-11-01,Descuento de cheques,0.0
2026-12-01,Descuento de cheques,0.0
2027-01-01,Descuento de cheques,0.0
2027-02-01,Descuento de cheques,0.0
2027-03-01,Descuento de cheques,0.0
2027-04-01,Descuento de cheques,0.0
2027-05-01,Descuento de cheques,0.0
2027-06-01,Descuento de cheques,0.0
2027-07-01,Descuento de cheques,0.0
2027-08-01,Descuento de cheques,0.0
2027-09-01,Descuento de cheques,0.0
2027-10-01,Descuento de cheques,0.0
2027-11-01,Descuento de cheques,0.0
2027-12-01,Descuento de cheques,0.0
2028-01-01,Descuento de cheques,0.0
2028-02-01,Descuento de cheques,0.0
2028-03-01,Descuento de cheques,0.0
2028-04-01,Descuento de cheques,0.0
2028-05-01,Descuento de cheques,0.0
2028-06-01,Descuento de cheques,0.0
2028-07-01,Descuento de cheques,0.0
2028-08-01,Descuento de cheques,0.0
2028-09-01,Descuento de cheques,0.0
2028-10-01,Descuento de cheques,0.0
2028-11-01,Descuento de cheques,0.0
2028-12-01,Descuento de cheques,0.0
2029-01-01,Descuento de cheques,0.0
2029-02-01,Descuento de cheques,0.0
2029-03-01,Descuento de cheques,0.0
2029-04-01,Descuento de cheques,0.0
2029-05-01,Descuento de cheques,0.0
2029-06-01,Descuento de cheques,0.0
2029-07-01,Descuento de cheques,0.0
