Linea de crédito,monto,monto_pct,cantidad,cantidad_pct
Descuento de cheques,562468361.89,55.27833229842235,33,22.916666666666664
Crédito personal,388149135.75,38.14656674241541,102,70.83333333333334
Crédito con garantía prendaria,65703000.0,6.457167217013235,6,4.166666666666666
Credito Empleado Liess,1200000.0,0.11793374214900203,3,2.083333333333333
